edad,Rel general mujer qx base 2019 en tanto por mil,Rel general hombre qx base 2019 en tanto por mil,NoRel general mujer qx base 2019 en tanto por mil,NoRel general hombre qx base 2019 en tanto por mil,decesos mujer qx base 2019 en tanto por mil,decesos hombre qx base 2019 en tanto por mil
15,0.0914074930653033,0.1675602079361070,0.0958145474672040,0.1756388339568490,0.1462519889044850,0.2680963326977710
16,0.1045124133030310,0.2078687961403640,0.1095512987997740,0.2178908311216070,0.1672198612848500,0.3325900738245820
17,0.1155331638633910,0.2477164126552280,0.1211033958136960,0.2596596316431430,0.1848530621814250,0.3963462602483650
18,0.1084142101058310,0.2476765075859790,0.1136412139963560,0.2596178026199030,0.1734627361693290,0.3962824121375660
19,0.1052886234224720,0.2527345748453980,0.1103649325494770,0.2649197358560950,0.1684617974759550,0.4043753197526370
20,0.1040656151487920,0.2589661590300260,0.1090829590442250,0.2714517651091820,0.1665049842380680,0.4143458544480410
21,0.1040970078826320,0.2656076540318140,0.1091158653245060,0.2784134683214930,0.1665552126122110,0.4249722464509020
22,0.1053096327962540,0.2733320080531270,0.1103869548539290,0.2865102387306740,0.1684954124740070,0.4373312128850030
23,0.1067490762179270,0.2803686923906260,0.1118957985540150,0.2938861846499590,0.1707985219486830,0.4485899078250020
24,0.1082688349414690,0.2867375085651750,0.1134888298195310,0.3005620622963380,0.1732301359063500,0.4587800137042800
25,0.1094838443969510,0.2914645969117570,0.1147624188573820,0.3055170590430670,0.1751741510351210,0.4663433550588120
26,0.1098521539387790,0.2927829397015010,0.1151484858076370,0.3068989634534170,0.1757634463020470,0.4684527035224010
27,0.1096731948457850,0.2908978567610770,0.1149608985110670,0.3049229944948790,0.1754771117532570,0.4654365708177240
28,0.1092427696934940,0.2860475359276420,0.1145097211534750,0.2998388238197860,0.1747884315095900,0.4576760574842280
29,0.1089131831901400,0.2788854071871630,0.1141642442061140,0.2923313854122960,0.1742610931042240,0.4462166514994610
30,0.1100540457394190,0.2729174741613190,0.1153601114727440,0.2860757188032430,0.1760864731830710,0.4366679586581110
31,0.1129387935764550,0.2688126940307090,0.1183839424442930,0.2817730337882870,0.1807020697223280,0.4301003104491340
32,0.1184832964893280,0.2687324797324260,0.1241957639888130,0.2816889520961560,0.1895732743829250,0.4299719675718810
33,0.1279285673521600,0.2752225383809060,0.1340964222727120,0.2884919177129410,0.2046857077634550,0.4403560614094500
34,0.1425824552796970,0.2904632929255650,0.1494568220969260,0.3044674789146020,0.2281319284475150,0.4647412686809030
35,0.1630331310711090,0.3148779502445310,0.1708934918998350,0.3300592467679480,0.2608530097137740,0.5038047203912490
36,0.1876957415042440,0.3450309780932770,0.1967451674984930,0.3616660507750290,0.3003131864067910,0.5520495649492430
37,0.2152544833849890,0.3789191461098930,0.2256326065203970,0.3971880782819520,0.3444071734159820,0.6062706337758280
38,0.2440305297447780,0.4145605233573970,0.2557960402543110,0.4345478429747420,0.3904488475916440,0.6632968373718350
39,0.2732986456894910,0.4520462392107140,0.2864752678582980,0.4738408678737370,0.4372778331031860,0.7232739827371420
40,0.3037383210428940,0.4938672603542400,0.3183825395843830,0.5176782173197020,0.4859813136686300,0.7901876165667840
41,0.3359920521968810,0.5423825004545330,0.3521913286782970,0.5685325359273840,0.5375872835150100,0.8678120007272530
42,0.3882034688278780,0.6281840865956520,0.4069200285841850,0.6584708973504060,0.6211255501246050,1.0050945385530400
43,0.4510517495997530,0.7379230662215480,0.4727984306638370,0.7735007523411350,0.7216827993596050,1.1806769059544800
44,0.5228982859229460,0.8706658654181800,0.5481089236446990,0.9126435163317060,0.8366372574767140,1.3930653846690900
45,0.6023199642285080,1.0250704223743300,0.6313597809950560,1.0744924223186400,0.9637119427656130,1.6401126757989300
46,0.6909062241305380,1.2037939796670000,0.7242170744147670,1.2618328272402800,1.1054499586088600,1.9260703674672000
47,0.7926627920637350,1.4130223975306900,0.8308796595200130,1.4811488318983100,1.2682604673019800,2.2608358360491100
48,0.9057615160231160,1.6482064161756300,0.9494312431144180,1.7276718417995200,1.4492184256369900,2.6371302658810000
49,1.0330295658247400,1.9131125152167900,1.0828353021237200,2.0053499308681900,1.6528473053195900,3.0609800243468600
50,1.1727578210872300,2.2042846817436900,1.2293003138792900,2.3105604605004700,1.8764125137395600,3.5268554907899000
51,1.2819646192339000,2.4413189110058300,1.3437723291799500,2.5590228857281800,2.0511433907742400,3.9061102576093300
52,1.3962257928395400,2.6933413556336800,1.4635424079225600,2.8231961572382600,2.2339612685432700,4.3093461690138900
53,1.5131025829348900,2.9600417007569700,1.5860542105863200,3.1027549988649400,2.4209641326958200,4.7360667212111500
54,1.6308462533073900,3.2424835604968900,1.7094746886625400,3.3988143050472200,2.6093540052918200,5.1879736967950300
55,1.7490436868946100,3.5427074042246000,1.8333708073631600,3.7135129228627700,2.7984698990313800,5.6683318467593600
56,1.8688399166732500,3.8635315325087600,1.9589428054521700,4.0498050323744700,2.9901438666772100,6.1816504520140200
57,1.9924739425689200,4.2073954271301000,2.0885376323694700,4.4102477307637100,3.1879583081102800,6.7318326834081600
58,2.1230428389492100,4.5760869085603600,2.2254016825741000,4.7967150351784200,3.3968685423187300,7.3217390536965800
59,2.2642958527189000,4.9708181939233400,2.3734649664347900,5.2104776076973000,3.6228733643502400,7.9533091102773400
60,2.4201650662945300,5.3921463418874900,2.5368491449303900,5.6521193646103800,3.8722641060712400,8.6274341470199900
61,2.5946384587893400,5.8409000421353400,2.7197344706992000,6.1225089494419200,4.1514215340629400,9.3454400674165400
62,2.7917041728928000,6.3198702030443300,2.9263013678422500,6.6245718293964400,4.4667266766284700,10.1117923248709000
63,3.0147718988740800,6.8335937361144800,3.1601239189559200,7.1630636553259000,4.8236350381985200,10.9337499777832000
64,3.2669136274037200,7.3886502356791700,3.4244222254351000,7.7448812453403900,5.2270618038459600,11.8218403770867000
65,3.5510368893321900,7.9934400895003600,3.7222439997083900,8.3788299973889200,5.6816590229315100,12.7895041432006000
66,3.8706481319316800,8.6577522923382400,4.0572647463469900,9.0751708657068000,6.1930370110906800,13.8524036677412000
67,4.2314403743871000,9.3934539110351300,4.4354519636230100,9.8463430672676800,6.7703045990193600,15.0295262576562000
68,4.6420858220140300,10.2141695202437000,4.8658959722529400,10.7066280620592000,7.4273373152224500,16.3426712323900000
69,5.1148773993987200,11.1348415456861000,5.3614823789499900,11.6716886990516000,8.1838038390379500,17.8157464730978000
70,5.6660875424836300,12.1729523718790000,5.9392681670503400,12.7598502457359000,9.0657400679738100,19.4767237950064000
71,6.3154845027671100,13.3486579970776000,6.6199746801552100,13.9922404870104000,10.1047752044274000,21.3578527953241000
72,7.0844530354765700,14.6849786665477000,7.4260177025301700,15.3929895495066000,11.3351248567625000,23.4959658664763000
73,7.9924639364788900,16.2058259188239000,8.3778067808355000,16.9871618252902000,12.7879422983662000,25.9293214701183000
